task,pulse_type,training_strength,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
Z,polished_open_loop,0.08,0.05,29,0.999981077727587,1.8922272412957852e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,30,0.9999546344590282,4.53655409717868e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,31,0.9999893159735258,1.0684026474194752e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,32,0.9999767332416547,2.3266758345297234e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,33,0.9999991154771696,8.845228304243946e-07,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,34,0.9999959976561388,4.0023438612202256e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,35,0.9999882374866669,1.1762513333124502e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,36,0.9999815561435615,1.844385643845481e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,37,0.999984610798069,1.5389201931004237e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,38,0.9999823367280487,1.766327195129591e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,39,0.9999995323463859,4.67653614055763e-07,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,40,0.9999865645688495,1.3435431150510269e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,41,0.9999855574057726,1.4442594227448424e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,42,0.9999982015381702,1.7984618297939292e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,43,0.9999855174055665,1.4482594433484763e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,44,0.9999845121190977,1.5487880902331774e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,45,0.9999920077887984,7.992211201623967e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,46,0.9999983644715708,1.635528429244637e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,47,0.9999849825384177,1.5017461582278457e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,48,0.9999996617974896,3.3820251044147653e-07,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,49,0.9999950030517425,4.996948257507405e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,50,0.9999994469442971,5.530557029009842e-07,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,51,0.9999905302803938,9.46971960624765e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,52,0.9999863173733413,1.368262665868425e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,53,0.9999966601998416,3.339800158430606e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,54,0.9999863129494182,1.3687050581800975e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,55,0.9999976291713254,2.3708286746026985e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,56,0.9999905410962472,9.458903752812553e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,57,0.9999985902386516,1.4097613484365112e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,58,0.9999874577834323,1.2542216567656972e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.05,59,0.9999928547217891,7.145278210884953e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,10,0.99991038561548,8.961438452004256e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,11,0.999994766613586,5.233386414005281e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,12,0.9999939765622556,6.023437744362425e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,13,0.999993333322363,6.666677637046092e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,14,0.9999943347616698,5.665238330232469e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,15,0.9999584083165203,4.159168347972475e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,16,0.9999848921181902,1.5107881809806045e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,17,0.999880440965891,0.00011955903410898472,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,18,0.9999766300474944,2.3369952505625236e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,19,0.9999883424070967,1.165759290333579e-05,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,20,0.9999914037078657,8.596292134344097e-06,0.19052792956931994,2.504765485985131e-05
Z,polished_open_loop,0.08,0.08,21,0.9999991867971628,8.132028371798938e-07,0.19052792956931994,2.504765485985131e-05
