task,pulse_type,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,26,0.9913743785699409,0.008625621430059072,0.9908509075329275,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,27,0.9954197666698179,0.004580233330182093,0.9910601225499893,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,28,0.9951181368542745,0.0048818631457254735,0.99068441702385,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,29,0.9951871735434862,0.004812826456513819,0.9906476196099884,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,30,0.994471513150884,0.005528486849115999,0.9908311425322227,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,31,0.9949394002179296,0.005060599782070407,0.9909723413767235,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,32,0.9943567970816919,0.00564320291830811,0.9909087755081212,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,33,0.9925326283981364,0.007467371601863615,0.9910827438478018,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,34,0.9933169987155777,0.006683001284422341,0.9911083725700619,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,35,0.9947727283578962,0.005227271642103792,0.9909112769603642,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,36,0.9947184687957098,0.005281531204290202,0.9906742108371038,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,37,0.9941174000985445,0.005882599901455454,0.9907142311529156,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,38,0.9952667789517757,0.004733221048224268,0.9910297734415494,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,39,0.9940486515521132,0.005951348447886806,0.9909143161240259,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,40,0.993048881442783,0.006951118557216973,0.9906314349846067,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,41,0.9949791650726532,0.00502083492734684,0.9907244797045869,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,42,0.9913666300643816,0.008633369935618362,0.9910228855127573,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,43,0.9930228801950161,0.0069771198049839445,0.9907058752660192,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,44,0.9952623959952487,0.004737604004751317,0.991039445108622,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,45,0.991518313159262,0.008481686840738023,0.9908009293894585,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,46,0.9924629206165192,0.007537079383480805,0.990699446853133,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,47,0.9951476560279483,0.004852343972051698,0.9905976648363618,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,48,0.9926806919099889,0.007319308090011134,0.9907757795948161,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,49,0.9933632440715545,0.006636755928445481,0.9908557439209229,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,50,0.9932382901673056,0.006761709832694418,0.9911119741778135,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,51,0.992040510842543,0.007959489157457034,0.9907702221545316,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,52,0.9949019782537907,0.005098021746209325,0.990709398384087,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,53,0.9921105389883509,0.007889461011649113,0.9910669342074665,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,54,0.9944565438764642,0.005543456123535795,0.9909889103208587,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,55,0.990064647236351,0.009935352763648986,0.9907961048085865,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,56,0.9949423774941917,0.0050576225058083235,0.9910273932241946,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,57,0.995331929278353,0.0046680707216469886,0.9911111852321397,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,58,0.9951067649458267,0.004893235054173273,0.9906007467469421,4.9225
Z,closed_trained,closed_static,relax_0.002,0.08,0.0,0.002,59,0.9946582040858919,0.005341795914108105,0.990943120105539,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,10,0.9572578294658294,0.04274217053417062,0.9203876048229879,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,11,0.9578741038351861,0.04212589616481388,0.92077861489961,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,12,0.9575651335997069,0.04243486640029315,0.9207602326904064,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,13,0.9548084169054674,0.04519158309453264,0.9207319078467329,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,14,0.9566990394291002,0.04330096057089983,0.920474975445712,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,15,0.9566358049697141,0.04336419503028588,0.9205204702912131,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,16,0.9581007060271425,0.04189929397285752,0.9206946037217425,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,17,0.95790009506747,0.04209990493253002,0.9204854077446811,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,18,0.9548193478310054,0.045180652168994584,0.9207191549183436,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,19,0.9568639963557934,0.043136003644206555,0.9206443896915047,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,20,0.957997778806099,0.04200222119390096,0.9207512413173959,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,21,0.9568105288797306,0.043189471120269385,0.9204760018759873,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,22,0.9569641112656029,0.04303588873439712,0.9204071038794889,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,23,0.9581130526093837,0.04188694739061627,0.9205547860825642,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,24,0.9578212223436916,0.0421787776563084,0.9204507200165561,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,25,0.9578177615250223,0.04218223847497771,0.9204222758671967,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,26,0.9550114369248304,0.04498856307516963,0.9206428652039098,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,27,0.9585906885890207,0.041409311410979255,0.9207390623924434,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,28,0.958253904320745,0.041746095679255024,0.9203175137518345,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,29,0.9583170711375777,0.04168292886242231,0.9202943494274384,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,30,0.957706955185213,0.04229304481478702,0.9204927451045695,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,31,0.9581559127283819,0.04184408727161815,0.9206809478701838,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,32,0.9576682180812633,0.042331781918736655,0.9206304091261039,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,33,0.955993708936052,0.044006291063948044,0.9207906643182042,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,34,0.9566996136528805,0.043300386347119524,0.920821000705329,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,35,0.9579962352124016,0.042003764787598374,0.9206075982541462,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,36,0.9579339522520767,0.04206604774792333,0.9203547884100396,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,37,0.9573960957293571,0.04260390427064287,0.9204447310806951,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,38,0.9583705289279782,0.04162947107202175,0.9205898901915575,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,39,0.9574650814863392,0.04253491851366076,0.9207645189371063,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,40,0.9565031003360505,0.04349689966394954,0.9204380909148657,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,41,0.9581260558714375,0.04187394412856249,0.9203495295981734,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,42,0.9549832153395191,0.04501678466048087,0.9207897777707887,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,43,0.9565009296055762,0.0434990703944238,0.9205266311139442,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,44,0.9583659966037033,0.04163400339629675,0.9205990564996596,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,45,0.9551431231652484,0.04485687683475159,0.9205992810794186,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,46,0.9559834437085508,0.04401655629144918,0.9205134336421466,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,47,0.9583194049589656,0.041680595041034385,0.9203338172743709,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,48,0.9562255566259443,0.04377444337405567,0.9206332205934775,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,49,0.9568742257081625,0.043125774291837504,0.9207273102588599,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,50,0.9566085160484998,0.043391483951500165,0.9207894859602168,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,51,0.9556031306341197,0.044396869365880276,0.9205539492787307,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,52,0.9580536364975684,0.04194636350243164,0.9203369782294037,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,53,0.9556350005708908,0.04436499942910921,0.9208075376007937,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,54,0.9577110019836019,0.04228899801639807,0.9206708702861046,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,55,0.9538754814643295,0.046124518535670456,0.9206857227666634,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,56,0.9581572264384025,0.04184277356159749,0.9207331818597959,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,57,0.9585223822670261,0.04147761773297387,0.9208373538565057,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,58,0.9582852760342082,0.04171472396579179,0.9203420012756909,4.9225
Z,closed_trained,closed_static,combined,0.08,0.005,0.002,59,0.9579352674728719,0.04206473252712806,0.9206995037988606,4.9225
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,10,0.999432086804419,0.0005679131955810268,0.9993917366429863,5.6075
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,11,0.9985291504125979,0.0014708495874020677,0.9992936672183903,5.6075
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,12,0.9987339275722653,0.001266072427734688,0.9992835609315784,5.6075
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,13,0.9954087159235621,0.00459128407643794,0.9994185541659864,5.6075
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,14,0.9994548323188022,0.0005451676811978334,0.9993927694882584,5.6075
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,15,0.9982371683127735,0.0017628316872264627,0.999376649271743,5.6075
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,16,0.9981552764870559,0.0018447235129440687,0.9992922432083087,5.6075
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,17,0.9992081710197669,0.0007918289802331113,0.999317945850131,5.6075
H,closed_trained,closed_static,static_only,0.08,0.0,0.0,18,0.9959199358455051,0.004080064154494911,0.9994045419607832,5.6075
