task,controller,disorder_strength,seed,final_fidelity,tail_infidelity_mean,tail_stability_range,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
Z,finite_candidate_seed,0.08,13,0.996853284131699,0.0007900757895123328,0.003088763057611299,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,14,0.9990510089838078,0.0034062092566256286,0.00555053545640416,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,15,0.9978008721865151,0.001341139385396407,0.0014789715943721582,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,16,0.9957149059732355,0.006553061927346367,0.013710623890895834,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,17,0.9989092610527428,0.0007153210838599655,0.0019956234517251037,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,18,0.9960606415960694,0.001336336546511791,0.003796104961472424,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,19,0.9949492749378404,0.005936122000948465,0.011490822311111537,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,20,0.9962053798495382,0.006954008451181309,0.013461556900347782,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,21,0.996445542547059,0.0013744774965255622,0.0034830890860916286,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,22,0.9999321570926777,0.0024538101254819164,0.005584472099645965,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,23,0.999527429816069,0.0006228235693545111,0.001600297338661627,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,24,0.9985153501970145,0.0013098505957391986,0.003238934413668848,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,25,0.998520718593433,0.0024233986235290017,0.0044324681340099925,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,26,0.9969622453573943,0.0011126404734479798,0.002813144270706447,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,27,0.9996198109820028,0.0032913780546816296,0.00749571003990257,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,28,0.9976637909536714,0.0016255911153630043,0.0019378709444763942,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,29,0.9980724611136318,0.0015061167839296025,0.000995808533211462,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,30,0.998564687566122,0.0007847291885718131,0.0020930020184566356,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,31,0.9957304055314727,0.0061271079136013306,0.01317020512173217,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,32,0.9990562241804529,0.0012985002263387825,0.002985780989299469,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,33,0.9966136464615093,0.0017832447836369546,0.003014426828793826,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
