task,baseline,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
H,open_system_grape,combined,static_only,0.08,0.0,0.0,55,0.9979231641198849,0.002076835880115091,0.9981290885001076,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,56,0.9984479185933368,0.001552081406663186,0.9984906061017707,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,57,0.9991311731225265,0.000868826877473472,0.9985800164446046,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,58,0.9967206247898872,0.0032793752101127893,0.9984024799576718,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,59,0.9986157667349864,0.0013842332650135791,0.9986412827224922,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,10,0.9917471791948479,0.008252820805152106,0.9900743853808729,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,11,0.995900595471638,0.004099404528361994,0.9921427383733243,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,12,0.9957279551677372,0.004272044832262845,0.9919811032883847,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,13,0.9952633515981094,0.004736648401890586,0.9922321264249538,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,14,0.9958878835872887,0.004112116412711253,0.9919317064443666,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,15,0.9923808660066699,0.0076191339933301405,0.9903580058572021,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,16,0.9951575025196162,0.0048424974803837895,0.9916497726348092,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,17,0.9931348180690445,0.006865181930955533,0.9924478380640661,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,18,0.9941592335369909,0.005840766463009128,0.9912849603738345,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,19,0.9946878539717479,0.0053121460282521404,0.9912538711315038,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,20,0.9956408124109992,0.004359187589000779,0.9919658655822228,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,21,0.9913844542766717,0.008615545723328344,0.9912010272592158,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,22,0.9922963586620227,0.007703641337977296,0.990238982898513,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,23,0.9937733438810662,0.006226656118933804,0.9926124483876303,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,24,0.9932780159844927,0.006721984015507276,0.9922960455928689,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,25,0.9943108660551122,0.005689133944887792,0.992126679671979,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,26,0.9932763448968405,0.0067236551031595315,0.9908415217569392,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,27,0.9960969459338409,0.003903054066159095,0.9928778739112495,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,28,0.9910283263702635,0.008971673629736499,0.9897757756930535,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,29,0.9907896750552074,0.00921032494479257,0.9897353841514946,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,30,0.9927081192616451,0.00729188073835485,0.9923008512222679,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,31,0.9949954294763436,0.0050045705236564375,0.9915638637660487,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,32,0.9937855581760263,0.006214441823973682,0.9924004392087582,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,33,0.9957366279053833,0.004263372094616691,0.9925097722103344,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,34,0.995607138328518,0.004392861671482007,0.9922419819411221,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,35,0.9945363794105279,0.00546362058947214,0.9911909841612219,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,36,0.9909841613258227,0.009015838674177323,0.9898213564332445,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,37,0.9953529428691094,0.004647057130890642,0.9921844855436492,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,38,0.9950315120018893,0.004968487998110671,0.992877970384086,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,39,0.9957203906795937,0.004279609320406275,0.9920140871437044,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,40,0.9919922096120283,0.008007790387971725,0.9902077899250524,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,41,0.9916176165872206,0.008382383412779415,0.9899251688534935,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,42,0.995292433233343,0.0047075667666569565,0.9921187926925088,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,43,0.9913208678354837,0.008679132164516323,0.9913606110368013,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,44,0.9951628534018195,0.004837146598180464,0.9928981263332914,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,45,0.9927664606024513,0.007233539397548672,0.9906300373748099,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,46,0.9922351530317223,0.007764846968277728,0.9905776390418921,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,47,0.9929476996278759,0.007052300372124121,0.9906271384482978,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,48,0.9940108873807167,0.0059891126192832544,0.9911211461921003,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,49,0.9945612838481226,0.00543871615187741,0.9919783040674686,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,50,0.9959249633530012,0.00407503664699882,0.9926801380150321,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,deph_0.005,0.08,0.005,0.0,51,0.9923450408027579,0.007654959197242128,0.9904406794450369,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
