task,baseline,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed
H,terminal_process_open_loop,0.08,38,0.999977621252952,0.9979262439714196,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,39,0.9999746654951656,0.9998733048324905,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,40,0.999802505541535,0.9969555859330926,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,41,0.9998988694335749,0.9945215465096506,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,42,0.999988616121791,0.9999074000646813,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,43,0.9996621655424778,0.9993800618360099,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,44,0.9999773998307153,0.9979506029728311,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,45,0.9998915031065478,0.9961190811216888,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,46,0.9998343177544019,0.9992356343446226,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,47,0.9996864486615202,0.9996874551402266,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,48,0.9998997606520964,0.999354276962494,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,49,0.9999959165978011,0.9998255415608455,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,50,0.9999900627902205,0.9998028397787415,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,51,0.9998650898558636,0.9955722344701301,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,52,0.9998798480568698,0.9950293113066101,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,53,0.999995137312155,0.9997111310044403,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,54,0.9999777022915353,0.9960766848330844,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,55,0.9999975524400797,0.9998441326849757,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,56,0.9999461934569626,0.9975887132180555,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,57,0.9999938265012821,0.9999854869332884,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,58,0.9996483661147129,0.9997246585787275,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,59,0.9999162620905342,0.9980701773074744,1.129996649817001,20,0.00023059181329800348,22
