task,design_label,disorder_strength,seed,score_mode,worst_weight,train_points_per_axis,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,coarse,0.08,10,max_net,0.25,7,335,335,256,0,13,2145,0.9959232502788137,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,11,max_net,0.25,7,335,335,256,0,13,2145,0.9984075514685495,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,12,max_net,0.25,7,335,335,256,0,13,2145,0.9985876846007715,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,13,max_net,0.25,7,335,335,256,0,13,2145,0.9958246531094359,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,14,max_net,0.25,7,335,335,256,0,13,2145,0.9988658277153354,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,15,max_net,0.25,7,335,335,256,0,13,2145,0.995885582129602,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,16,max_net,0.25,7,335,335,256,0,13,2145,0.9986496458380623,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,17,max_net,0.25,7,335,335,256,0,13,2145,0.9973979323344523,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,18,max_net,0.25,7,335,335,256,0,13,2145,0.9946000903529093,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,19,max_net,0.25,7,335,335,256,0,13,2145,0.999044449016507,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,20,max_net,0.25,7,335,335,256,0,13,2145,0.9986698782948074,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,21,max_net,0.25,7,335,335,256,0,13,2145,0.9959486545595524,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,22,max_net,0.25,7,335,335,256,0,13,2145,0.996182461168162,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,23,max_net,0.25,7,335,335,256,0,13,2145,0.9969071464535042,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,24,max_net,0.25,7,335,335,256,0,13,2145,0.9976628889830923,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,25,max_net,0.25,7,335,335,256,0,13,2145,0.998053634334523,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,26,max_net,0.25,7,335,335,256,0,13,2145,0.9951792637523555,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,27,max_net,0.25,7,335,335,256,0,13,2145,0.9963486415839362,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,28,max_net,0.25,7,335,335,256,0,13,2145,0.9962031394619271,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,29,max_net,0.25,7,335,335,256,0,13,2145,0.9956250259148913,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,30,max_net,0.25,7,335,335,256,0,13,2145,0.9971716710663674,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,31,max_net,0.25,7,335,335,256,0,13,2145,0.9983398733695943,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,32,max_net,0.25,7,335,335,256,0,13,2145,0.9967064781081793,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,33,max_net,0.25,7,335,335,256,0,13,2145,0.9943497473635252,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,34,max_net,0.25,7,335,335,256,0,13,2145,0.994214206903402,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,35,max_net,0.25,7,335,335,256,0,13,2145,0.9987976556673295,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,36,max_net,0.25,7,335,335,256,0,13,2145,0.9958801619865504,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,37,max_net,0.25,7,335,335,256,0,13,2145,0.998757547078245,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,38,max_net,0.25,7,335,335,256,0,13,2145,0.9966361641741648,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,39,max_net,0.25,7,335,335,256,0,13,2145,0.998413773723128,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,40,max_net,0.25,7,335,335,256,0,13,2145,0.9961720751779082,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,41,max_net,0.25,7,335,335,256,0,13,2145,0.9969397292470894,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,42,max_net,0.25,7,335,335,256,0,13,2145,0.9943072676597258,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,43,max_net,0.25,7,335,335,256,0,13,2145,0.996170575128513,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,44,max_net,0.25,7,335,335,256,0,13,2145,0.9965538388525238,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,45,max_net,0.25,7,335,335,256,0,13,2145,0.9954887766993716,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,46,max_net,0.25,7,335,335,256,0,13,2145,0.9973076571350923,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,47,max_net,0.25,7,335,335,256,0,13,2145,0.9956120304809337,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,48,max_net,0.25,7,335,335,256,0,13,2145,0.9984396309539001,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,49,max_net,0.25,7,335,335,256,0,13,2145,0.9974046244780297,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,50,max_net,0.25,7,335,335,256,0,13,2145,0.9943993550386621,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,51,max_net,0.25,7,335,335,256,0,13,2145,0.9956857374196287,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,52,max_net,0.25,7,335,335,256,0,13,2145,0.9968231825240373,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,53,max_net,0.25,7,335,335,256,0,13,2145,0.9939340280285478,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,54,max_net,0.25,7,335,335,256,0,13,2145,0.9966410152894156,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,55,max_net,0.25,7,335,335,256,0,13,2145,0.9970853060549487,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,56,max_net,0.25,7,335,335,256,0,13,2145,0.997379356545722,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,57,max_net,0.25,7,335,335,256,0,13,2145,0.9963630928391707,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,58,max_net,0.25,7,335,335,256,0,13,2145,0.9957988987223529,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.08,59,max_net,0.25,7,335,335,256,0,13,2145,0.998924511146303,4.4275,0.1111111111111111,22.094228454167023
