task,baseline,objective_kind,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
H,ensemble_grape,process,0.08,21,0.9998951356251531,0.9999282874446905,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,22,0.9995531546167851,0.9996929056337015,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,23,0.9998435786070994,0.9997602814172408,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,24,0.9998684078727043,0.9998273282022874,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,25,0.9997518757893088,0.9997614392936097,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,26,0.9997490762828655,0.9997223181084417,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,27,0.9999168368048774,0.9998299159968024,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,28,0.9994985284056495,0.9994340794265067,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,29,0.9994676713195341,0.9995136956795617,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,30,0.999910832132389,0.9998582262568511,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,31,0.9997915040221058,0.999663624658389,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,32,0.9999397272227725,0.9998914838898189,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,33,0.9999130452568535,0.999894266713667,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,34,0.9999732283504226,0.9999821332782236,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,35,0.9996882089526107,0.9994871418139765,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,36,0.9995529804681521,0.9995545592357112,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,37,0.9997283147334829,0.9997558804543537,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,38,0.9997472159416947,0.9996288521843152,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,39,0.9999512141717961,0.9999354790135834,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,40,0.9996815790656148,0.999756389803751,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,41,0.9994964300226885,0.9993253579922484,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,42,0.9999103665913951,0.999935488349211,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,43,0.9999705233011884,0.999979629117207,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,44,0.9997442130286879,0.9996227444178777,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,45,0.9997579011780514,0.9997171265474437,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,46,0.999737316678825,0.9996320408843514,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,47,0.9991788243433526,0.9994369549135328,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,48,0.9997818774481543,0.9996781850243983,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
H,ensemble_grape,process,0.08,49,0.9999721332506685,0.9999810502460162,1.533245454242059,60,0.00025582952860636295,22,120,False,125.57604151801206
