system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,11,0.8045051106135356,0.01882632934723405,0.0242681557656107,0.12164009494343786,0.9999998400898348,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,12,0.6283998570132099,0.010510707854731738,0.015463400216585654,0.33973548673365755,0.9999999238371965,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,13,0.6507384304597772,0.011659333575241071,0.012506658983818308,0.34721112135003473,0.9999999312799492,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,14,0.855302274284995,0.014912014217114855,0.014912014217114855,0.15663844359557935,0.9999998944249429,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,15,0.9493883893435009,0.0172176888092489,0.0242799752796361,0.12349964018531119,0.9999998611440709,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,16,0.8694653607907057,0.017255491602287898,0.019752241655727865,0.12562061933875443,0.9999998499541408,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,17,0.8456620034525327,0.014306045084887642,0.014306045084887642,0.2626266769080166,0.9999999191206174,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,18,0.9115266467967479,0.0182428453010417,0.0182428453010417,0.18773437804100765,0.9999998889218484,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,19,0.6795373188587273,0.008354592825322804,0.010072186873518518,0.2830481828300153,0.9999999150195148,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,20,0.7383169327060934,0.01632455336383576,0.01632455336383576,0.28627850870138066,0.9999999116269366,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
