task,controller,reference_type,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,reference_objective,reference_refreshes,reference_iterations,reference_success,reference_seconds,horizon_seconds
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,47,0.999905973644438,0.9919876119228187,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,48,0.9999222887642756,0.9988730551038323,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,49,0.9997494492868527,0.9997106061062372,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,50,0.9982396639253803,0.9955045761166433,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,51,0.9999682575978589,0.9971071930526151,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,52,0.9990268045782418,0.990668687902363,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,53,0.9991670164355054,0.9984135517940865,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,54,0.9999578899988345,0.999567893293874,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,55,0.9990370524517507,0.9992739867507403,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,56,0.9999133784757542,0.999930453887352,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,57,0.9991024002642932,0.9976523325824594,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,58,0.9999117055423635,0.9927199883745376,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
