task,controller,eval_strength,seed,state_fidelity,avg_gate_fidelity,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
H,standalone_process_adjoint,0.08,36,0.9536711769618781,0.9691059285350255,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,37,0.7552646603372913,0.8361288560234863,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,38,0.9881327489778978,0.9920795547265447,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,39,0.9280958150162212,0.9463054875076558,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,40,0.8910742014932069,0.9265196275552322,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,41,0.9916673312705417,0.9927878837977397,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,42,0.920591691998669,0.9447511333653527,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,43,0.8359455199983034,0.8889716202335274,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,44,0.9839691069213494,0.9893109107609569,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,45,0.9942477902338712,0.9948786616972841,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,46,0.9715358546925523,0.974922839670482,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,47,0.6483957988640561,0.7655344129438618,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,48,0.9982195553104412,0.9909848639739188,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,49,0.99259295742193,0.9894493018303677,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,50,0.86966336171732,0.9120476249611477,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,51,0.9948777292570345,0.9956506734488011,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,52,0.984737419967363,0.9878916213010159,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,53,0.8632754050309632,0.9075006512580576,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,54,0.8546020714792015,0.9028524731434476,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,55,0.9886729259979923,0.9886764831358258,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,56,0.805078854553034,0.869104425038301,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,57,0.7689691624761756,0.8452495078796307,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,58,0.637058446937934,0.7579478756347532,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,59,0.8752180760850747,0.912806378713548,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
