task,controller,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,10,0.9835547277618624,0.01644527223813763,0.969608746064148,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,11,0.9854375442415341,0.014562455758465931,0.9743014228822036,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,12,0.9858352271471919,0.01416477285280815,0.9743855415235727,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,13,0.9839248804804529,0.0160751195195471,0.9702462484228616,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,14,0.9818318685485223,0.018168131451477665,0.9697013728848731,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,15,0.9845847745980106,0.015415225401989363,0.9709053221492273,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,16,0.9847636333577539,0.015236366642246146,0.9741603592429877,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,17,0.9843133508216875,0.01568664917831253,0.971627700380431,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,18,0.9842430601674469,0.015756939832553107,0.9707135165764591,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,19,0.9863463181585819,0.01365368184141813,0.9745053744863125,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,20,0.9850912609438814,0.014908739056118558,0.9743380370985119,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,21,0.9842363557615363,0.01576364423846366,0.9724204969200828,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,22,0.9832882820012845,0.016711717998715514,0.9693690062503669,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,23,0.985061850335623,0.01493814966437701,0.9720374400635657,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,24,0.9834986735354698,0.016501326464530175,0.9713543530212643,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,25,0.9822469470694302,0.017753052930569835,0.9707985296191133,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,26,0.9845465983450908,0.01545340165490916,0.9704321683392658,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,27,0.9848657005406595,0.015134299459340528,0.9729052571355625,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,28,0.9844709755467768,0.015529024453223239,0.971777317194777,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,29,0.9840965012158389,0.015903498784161085,0.9714311084652111,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,30,0.9844436649104179,0.015556335089582096,0.9718420998608965,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,31,0.9845041502478323,0.015495849752167667,0.9739478787226429,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,relax_0.002,0.08,0.0,0.002,32,0.9858501910213395,0.014149808978660472,0.9727863465095353,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
