task,controller,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_seconds
Z,seeded_process_horizon,0.08,26,0.9992496238791047,0.997211778975002,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,27,0.999334319907623,0.9995543316462246,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,28,0.9979771163321073,0.9975106857613157,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,29,0.9981453734743173,0.9985995340911428,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,30,0.9989613336140875,0.988456557874998,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,31,0.9983450965421026,0.9896039323430941,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,32,0.9988627590385593,0.9957721653014242,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,33,0.9995349212410831,0.9989311776977928,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,34,0.9999967189145595,0.9937240624961202,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,35,0.9978790173624454,0.9906283487616334,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,36,0.9984262982197194,0.9981968825356821,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,37,0.9991096464027025,0.9855359854166367,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,38,0.9991336103299147,0.9968136142037564,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,39,0.9977683451430897,0.9972137395684993,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,40,0.9985755844783929,0.9989377501688063,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,41,0.9977649651216529,0.9960186657005888,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
