task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,design_points_per_axis,certificate_points_per_axis
Z,selected_hard_augmented_mean_worst,2899,-0.04666666666667,0.06,0.00666666666667,0.0763034876150663,0.08,25,0.006666666666666668,0.005773502691896259,0.9979373024325667,0.0020626975674332693,0.003615560593157225,0.04497035059414045,-0.006815123553565949,0.04562730125717572,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2900,-0.04666666666667,0.06,0.01333333333333,0.07717224601860294,0.08,25,0.006666666666666668,0.005773502691896259,0.9979698939752909,0.0020301060247090996,0.0038650039473042547,0.04409946319975336,-0.0029758115929434115,0.04436841629645771,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2901,-0.04666666666667,0.06,0.02,0.07859884081701261,0.08,25,0.006666666666666668,0.005773502691896259,0.9979771691079466,0.002022830892053351,0.0041086286001906745,0.043226891555648544,0.0007783727949453034,0.04342868691022116,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2902,-0.04655314991701,-0.06401058113589,-0.01163828747925,0.07999999999999771,0.08,25,0.006666666666666668,0.005773502691896259,0.9975185091619246,0.002481490838075362,0.0005401389146927338,-0.043638302774403184,-0.012527015975072442,0.04540395740810893,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2903,-0.04655314991701,-0.06401058113589,0.01163828747925,0.07999999999999771,0.08,25,0.006666666666666668,0.005773502691896259,0.9976611807112135,0.002338819288786542,0.0035424995415028054,-0.04395997748993653,0.0003288959989245499,0.0441037084211224,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2904,-0.04655314991701,-0.05819143739626,-0.02909571869813,0.0799999999999948,0.08,25,0.006666666666666668,0.005773502691896259,0.9974613893208346,0.0025386106791653873,-0.0033742798557419296,-0.04035449749249642,-0.021977640748180205,0.046074807924426954,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2905,-0.04655314991701,-0.05819143739626,0.02909571869813,0.0799999999999948,0.08,25,0.006666666666666668,0.005773502691896259,0.99781775982379,0.0021822401762100485,0.004207902843097026,-0.04094812584898444,0.01005979428546816,0.042375168648008346,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2906,-0.04655314991701,-0.02909571869813,-0.05819143739626,0.0799999999999948,0.08,25,0.006666666666666668,0.005773502691896259,0.9975137255649208,0.0024862744350792054,-0.011399114265870834,-0.022119683206936247,-0.037895763542498545,0.045335516823904846,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2907,-0.04655314991701,-0.02909571869813,0.05819143739626,0.0799999999999948,0.08,25,0.006666666666666668,0.005773502691896259,0.9982326710905887,0.0017673289094113365,0.0030489301333360003,-0.02319523588540079,0.025811067470171645,0.034835702184498905,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2908,-0.04655314991701,-0.01163828747925,-0.06401058113589,0.07999999999999771,0.08,25,0.006666666666666668,0.005773502691896259,0.9975551135232041,0.00244488647679586,-0.011709805380138605,-0.008860051975292493,-0.04187986258300519,0.044379533041899004,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2909,-0.04655314991701,-0.01163828747925,0.06401058113589,0.07999999999999771,0.08,25,0.006666666666666668,0.005773502691896259,0.9983785524453253,0.0016214475546747487,0.0026631171202446437,-0.01158115115044156,0.028519205229854128,0.03089595963403715,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2910,-0.04655314991701,0.01163828747925,-0.06401058113589,0.07999999999999771,0.08,25,0.006666666666666668,0.005773502691896259,0.9975362895912915,0.0024637104087085193,-0.008762635568862406,0.010871458249237853,-0.04376878057347666,0.04594212162565811,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2911,-0.04655314991701,0.01163828747925,0.06401058113589,0.07999999999999771,0.08,25,0.006666666666666668,0.005773502691896259,0.9984609518938785,0.0015390481061214878,0.002798771748339257,0.004567670475650654,0.02767504119380909,0.02818873253540256,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2912,-0.04655314991701,0.02909571869813,-0.05819143739626,0.0799999999999948,0.08,25,0.006666666666666668,0.005773502691896259,0.9974639196009271,0.0025360803990729375,-0.005048372645629323,0.02615851630585564,-0.042294097917799534,0.049985445485393735,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2913,-0.04655314991701,0.02909571869813,0.05819143739626,0.0799999999999948,0.08,25,0.006666666666666668,0.005773502691896259,0.9984210584824003,0.0015789415175997412,0.003272100210932438,0.017200596232925025,0.023745517257365123,0.029502825972749176,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2914,-0.04655314991701,0.05819143739626,-0.02909571869813,0.0799999999999948,0.08,25,0.006666666666666668,0.005773502691896259,0.9973989678409602,0.00260103215903984,0.0018897989965998806,0.04834823632713403,-0.028231766375512335,0.0560192460577029,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2915,-0.04655314991701,0.05819143739626,0.02909571869813,0.0799999999999948,0.08,25,0.006666666666666668,0.005773502691896259,0.9980217216544606,0.0019782783455394304,0.004262941317819624,0.04076456227490824,0.00598920374317069,0.04142212896051162,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2916,-0.04655314991701,0.06401058113589,-0.01163828747925,0.07999999999999771,0.08,25,0.006666666666666668,0.005773502691896259,0.9975166331596451,0.0024833668403548836,0.0033905712569035525,0.050567412479301355,-0.01828082718804841,0.05387715490798705,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2917,-0.04655314991701,0.06401058113589,0.01163828747925,0.07999999999999771,0.08,25,0.006666666666666668,0.005773502691896259,0.9977798808053243,0.002220119194675685,0.0042119305264178425,0.04727565293954897,-0.004482599589190117,0.0476741168633155,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2918,-0.04637927710086,-0.06183903613448,-0.02061301204483,0.08000000000000115,0.08,25,0.006666666666666668,0.005773502691896259,0.9974777675350026,0.002522232464997387,-0.0012490560958027946,-0.04241485378901483,-0.01737496067297739,0.045852690449541544,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2919,-0.04637927710086,-0.06183903613448,0.02061301204483,0.08000000000000115,0.08,25,0.006666666666666668,0.005773502691896259,0.9977293961382006,0.0022706038617994473,0.004088632282477647,-0.04292478738701683,0.005349530161933236,0.043449646248448916,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2920,-0.04637927710086,-0.02061301204483,-0.06183903613448,0.08000000000000117,0.08,25,0.006666666666666668,0.005773502691896259,0.997534903038513,0.002465096961487001,-0.01188858506261889,-0.015868512970877324,-0.040162138786127566,0.04479001619305578,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2921,-0.04637927710086,-0.02061301204483,0.06183903613448,0.08000000000000117,0.08,25,0.006666666666666668,0.005773502691896259,0.9983079209130377,0.0016920790869623392,0.0028228841147602823,-0.01762163960494545,0.027601396292842917,0.032868342434727534,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2922,-0.04637927710086,0.02061301204483,-0.06183903613448,0.08000000000000117,0.08,25,0.006666666666666668,0.005773502691896259,0.9974992934237865,0.002500706576213485,-0.006967687264102379,0.01880287956386606,-0.04343624603491819,0.047841450806905224,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2923,-0.04637927710086,0.02061301204483,0.06183903613448,0.08000000000000117,0.08,25,0.006666666666666668,0.005773502691896259,0.998449084767137,0.0015509152328629927,0.0030188100272989793,0.010992412319877354,0.02611464672465036,0.028494229523614144,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2924,-0.04637927710086,0.06183903613448,-0.02061301204483,0.08000000000000115,0.08,25,0.006666666666666668,0.005773502691896259,0.9974381492862144,0.002561850713785563,0.0027586701026819788,0.05015999168059593,-0.023477417760758956,0.05545109711129333,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2925,-0.04637927710086,0.06183903613448,0.02061301204483,0.08000000000000115,0.08,25,0.006666666666666668,0.005773502691896259,0.9978947897025165,0.002105210297483451,0.004297272859642095,0.044492041326119364,0.0008835792483328775,0.0447078181941751,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2926,-0.04634592976173,-0.05958762397937,-0.02648338843528,0.07999999999999952,0.08,25,0.006666666666666668,0.005773502691896259,0.997460634276899,0.0025393657231009836,-0.0026413012037199424,-0.04115923395264032,-0.02053295535401284,0.04607234818399032,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2927,-0.04634592976173,-0.05958762397937,0.02648338843528,0.07999999999999952,0.08,25,0.006666666666666668,0.005773502691896259,0.9977835612228051,0.002216438777194907,0.004241184161203282,-0.041742803411713825,0.008623987627451424,0.04283482744632765,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2928,-0.04634592976173,-0.02648338843528,-0.05958762397937,0.07999999999999953,0.08,25,0.006666666666666668,0.005773502691896259,0.9975179786952866,0.002482021304713422,-0.011628631456813213,-0.020231005346015407,-0.03868883029781289,0.04518123766212978,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2929,-0.04634592976173,-0.02648338843528,0.05958762397937,0.07999999999999953,0.08,25,0.006666666666666668,0.005773502691896259,0.9982538976302001,0.0017461023697998845,0.0029858049737823272,-0.021502592639433882,0.026521419041770855,0.03427334517592505,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2930,-0.04634592976173,0.02648338843528,-0.05958762397937,0.07999999999999953,0.08,25,0.006666666666666668,0.005773502691896259,0.9974710859496612,0.0025289140503388374,-0.005667003874562218,0.0239495227724279,-0.042785278830471785,0.04935863307003713,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
