system,task,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,shifted_available_steps,shifted_selected_steps,shifted_selected_fraction
terminal_value_shifted_Z,Z,0.08,19,0.0027746818640779955,0.0031507456865791372,0.9969084079162663,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,20,0.0021197454313999432,0.003417726833043866,0.9987530816254626,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,21,0.003414051034901428,0.006631168464781512,0.9962163617273865,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,22,0.0018143306402615437,0.0025449106181164582,0.9972299924526181,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,23,0.001169773885986983,0.0015840976205653279,0.9989274351805664,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,24,0.00133319731832972,0.002216887614072016,0.999006427472432,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,25,0.00144059115325352,0.0023366080634037445,0.999214301095863,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,26,0.00268307505505863,0.005964640926234832,0.9932523232930546,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,27,0.0016623146606276802,0.002752831613770712,0.9991188035574744,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,28,0.002382587506527132,0.0028610238260304843,0.9990346552052989,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,29,0.0025902346026443557,0.003550761890540266,0.9989958347936563,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,30,0.0014199449279724459,0.002846906023785345,0.9985509476649808,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,31,0.0021336711048023003,0.003118794228956334,0.9991390909485492,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,32,0.0015083466336163357,0.002959635891437107,0.9979523742370348,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,33,0.003848044863847647,0.0058849989564526695,0.9943228745163504,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,34,0.0034874154509099246,0.006027637033722666,0.9956076013981607,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,35,0.002186574183910376,0.0030306630003194,0.9990293501243572,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,36,0.0018749126784897523,0.0017678174031571237,0.9984783324504857,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,37,0.0012931187704638494,0.002171389012571967,0.9987741381106829,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,38,0.0014557514490375768,0.001706888457301936,0.9990529467560163,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,39,0.0021577298685890763,0.0028876424275425805,0.9976248609103048,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,40,0.0018168431039633504,0.002759416877184395,0.9964007696108911,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,41,0.0024162864020191906,0.0025459745737536066,0.9989762114013848,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,42,0.003966024616105591,0.0068146440204782666,0.9927227449764255,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,43,0.0032707439009475986,0.006895469442940061,0.9957380831574426,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,44,0.0015378844202386533,0.0018157412364426806,0.9989917059315918,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,45,0.002422807294630048,0.005623631555137565,0.9936182168898997,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,46,0.003991121992020642,0.006160230851553816,0.9949372900548981,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,47,0.002646417183111702,0.004767125305126685,0.9990715914116137,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,48,0.003219552497713356,0.004896083250020888,0.9955810884921985,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,49,0.002240325196729147,0.004193200642001682,0.9964181146123161,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,50,0.003672207088682983,0.005661219164564191,0.9953347161212617,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,51,0.0021645940522366895,0.004766051588321885,0.9944659730171959,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,52,0.0026252998183892255,0.0028913914226417203,0.9988165483088913,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,53,0.0038504229598060775,0.006237347314981712,0.9937383983132649,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,54,0.0022630950296290537,0.003511649612174539,0.9980072457129848,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,55,0.003072843046109674,0.007282487449620012,0.9919728874756736,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,56,0.0022529415855976607,0.0033954708176897608,0.9988914366505776,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,57,0.0023449527023195658,0.0038049184634321165,0.9990488892885266,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,58,0.0025864890877813945,0.0047159617713268265,0.9990884452613463,4.705,99,13,0.13131313131313133
