system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,task,config,horizon_steps,beam_width,segments,n_train_strengths,n_train_seeds
horizon_lyapunov_Z,0.08,36,0.008555425539220967,0.004952204142559591,0.9920468498289112,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,37,0.0037396386956387584,0.009077109908361525,0.9974591152267884,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,38,0.00399950048627433,0.00449589810282347,0.995365832042023,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,39,0.004455650184035746,0.008867793434657822,0.9896340276460567,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,40,0.008029447919497414,0.005190891276624199,0.9905494242746932,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,41,0.00811732598426172,0.006846718776979177,0.9937930559392973,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,42,0.0028593942243177275,0.006055954964654275,0.9978654012753614,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,43,0.003489629214334901,0.0048327670778159915,0.9956480362194536,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,44,0.0040943723220733625,0.0047624084036096415,0.9955323652417014,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,45,0.004204878100396444,0.0068040684363044335,0.9910050386221083,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,46,0.006591956418362759,0.008269725606854239,0.9937005196022682,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,47,0.007371711952687525,0.016083889848374944,0.9977683184090793,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,48,0.005372431531569971,0.0067840282619439085,0.9909482708472205,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,49,0.003858766913735968,0.009484893621128032,0.9894366873307749,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,50,0.003558929632731787,0.008661221193791424,0.998674400976449,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,51,0.00492224508162062,0.006501920068167966,0.9904850401250102,2.11,Z,q2_b2,2,2,100,2,8
