task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,frequency_seed,restart_seed,training_objective,optimizer_iterations,optimizer_success,optimization_seconds
Z,crab,0.08,55,0.9999935031109536,6.4968890464145446e-06,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,56,0.999821218156256,0.00017878184374398032,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,57,0.9998785138445965,0.00012148615540352736,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,58,0.9998092983297187,0.00019070167028134577,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,59,0.9998044006156727,0.00019559938432733848,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
H,crab,0.05,10,0.9975226489700963,0.0024773510299036516,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,11,0.9996298659255859,0.00037013407441410795,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,12,0.9996121221494162,0.00038787785058380653,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,13,0.9999953770246334,4.622975366630477e-06,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,14,0.9997572040995308,0.00024279590046916155,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,15,0.9972994155742493,0.0027005844257507183,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,16,0.9984500033331231,0.0015499966668769405,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,17,0.9998977333936301,0.00010226660636991625,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,18,0.9989843312928703,0.0010156687071296577,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,19,0.9989815271131111,0.0010184728868889437,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,20,0.9991817024039937,0.0008182975960062677,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,21,0.9996321912734614,0.00036780872653863206,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,22,0.9978269945663081,0.0021730054336919213,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,23,0.9997833696265233,0.00021663037347674496,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,24,0.9999607420738015,3.925792619852153e-05,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,25,0.9999021922005265,9.780779947354823e-05,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,26,0.9984281716954815,0.0015718283045185188,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,27,0.9999189706430118,8.102935698817149e-05,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,28,0.996626223469533,0.0033737765304669987,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,29,0.9968611876524794,0.0031388123475205587,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,30,0.9999312092386128,6.879076138721629e-05,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,31,0.9981825983908383,0.0018174016091616618,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,32,0.9998876250525686,0.00011237494743143728,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,33,0.9999941640665482,5.835933451825426e-06,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,34,0.9995344067612906,0.0004655932387094275,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,35,0.9978118340294919,0.0021881659705080825,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,36,0.9967485972987461,0.0032514027012539026,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,37,0.9999103635607635,8.963643923654008e-05,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,38,0.9996919495214486,0.00030805047855142487,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,39,0.9997387167268912,0.0002612832731088144,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,40,0.9977814450347944,0.0022185549652056213,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,41,0.9966194104496395,0.003380589550360469,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,42,0.9998952255157305,0.00010477448426948754,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,43,0.9998040397919619,0.0001959602080381373,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,44,0.9996935863596963,0.0003064136403037043,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,45,0.9981990246829886,0.0018009753170113996,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,46,0.9989022088841556,0.0010977911158444043,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
H,crab,0.05,47,0.9984666774442473,0.0015333225557526697,4.00874249698839,3,40,31,101,0.0010809806353707066,35,False,19.40370754606556
