task,disorder_strength,seed,score_mode,train_points_per_axis,train_net_points,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,0.05,11,mean_worst,7,335,13,2145,0.9949717394697857,3.63,0.24242424242424243,21.794971575029194
Z,0.05,12,mean_worst,7,335,13,2145,0.9955693118645708,3.63,0.24242424242424243,21.794971575029194
Z,0.05,13,mean_worst,7,335,13,2145,0.9979448324098361,3.63,0.24242424242424243,21.794971575029194
Z,0.05,14,mean_worst,7,335,13,2145,0.9964787181766775,3.63,0.24242424242424243,21.794971575029194
Z,0.05,15,mean_worst,7,335,13,2145,0.9979384456448728,3.63,0.24242424242424243,21.794971575029194
Z,0.05,16,mean_worst,7,335,13,2145,0.9937689904885405,3.63,0.24242424242424243,21.794971575029194
Z,0.05,17,mean_worst,7,335,13,2145,0.997460025143492,3.63,0.24242424242424243,21.794971575029194
Z,0.05,18,mean_worst,7,335,13,2145,0.997258152476076,3.63,0.24242424242424243,21.794971575029194
Z,0.05,19,mean_worst,7,335,13,2145,0.9966212955131104,3.63,0.24242424242424243,21.794971575029194
Z,0.05,20,mean_worst,7,335,13,2145,0.9941836833372617,3.63,0.24242424242424243,21.794971575029194
Z,0.05,21,mean_worst,7,335,13,2145,0.9980255365410433,3.63,0.24242424242424243,21.794971575029194
Z,0.05,22,mean_worst,7,335,13,2145,0.9989082196735042,3.63,0.24242424242424243,21.794971575029194
Z,0.05,23,mean_worst,7,335,13,2145,0.9978817506146223,3.63,0.24242424242424243,21.794971575029194
Z,0.05,24,mean_worst,7,335,13,2145,0.9968914107494642,3.63,0.24242424242424243,21.794971575029194
Z,0.05,25,mean_worst,7,335,13,2145,0.996179559270504,3.63,0.24242424242424243,21.794971575029194
Z,0.05,26,mean_worst,7,335,13,2145,0.9980051072735017,3.63,0.24242424242424243,21.794971575029194
Z,0.05,27,mean_worst,7,335,13,2145,0.9963469073787872,3.63,0.24242424242424243,21.794971575029194
Z,0.05,28,mean_worst,7,335,13,2145,0.9988169368986518,3.63,0.24242424242424243,21.794971575029194
Z,0.05,29,mean_worst,7,335,13,2145,0.9991190964934147,3.63,0.24242424242424243,21.794971575029194
Z,0.05,30,mean_worst,7,335,13,2145,0.9975376363690648,3.63,0.24242424242424243,21.794971575029194
Z,0.05,31,mean_worst,7,335,13,2145,0.9936181189824126,3.63,0.24242424242424243,21.794971575029194
Z,0.05,32,mean_worst,7,335,13,2145,0.9981751483320398,3.63,0.24242424242424243,21.794971575029194
Z,0.05,33,mean_worst,7,335,13,2145,0.9963949054122453,3.63,0.24242424242424243,21.794971575029194
Z,0.05,34,mean_worst,7,335,13,2145,0.9943414416087963,3.63,0.24242424242424243,21.794971575029194
Z,0.05,35,mean_worst,7,335,13,2145,0.9945555793068221,3.63,0.24242424242424243,21.794971575029194
Z,0.05,36,mean_worst,7,335,13,2145,0.9990425552103498,3.63,0.24242424242424243,21.794971575029194
Z,0.05,37,mean_worst,7,335,13,2145,0.996175204662806,3.63,0.24242424242424243,21.794971575029194
Z,0.05,38,mean_worst,7,335,13,2145,0.9974892668564135,3.63,0.24242424242424243,21.794971575029194
Z,0.05,39,mean_worst,7,335,13,2145,0.9959924603964424,3.63,0.24242424242424243,21.794971575029194
Z,0.05,40,mean_worst,7,335,13,2145,0.999166081035764,3.63,0.24242424242424243,21.794971575029194
Z,0.05,41,mean_worst,7,335,13,2145,0.9982135826006377,3.63,0.24242424242424243,21.794971575029194
Z,0.05,42,mean_worst,7,335,13,2145,0.9969433530077304,3.63,0.24242424242424243,21.794971575029194
Z,0.05,43,mean_worst,7,335,13,2145,0.9983574945297773,3.63,0.24242424242424243,21.794971575029194
Z,0.05,44,mean_worst,7,335,13,2145,0.9974242717275458,3.63,0.24242424242424243,21.794971575029194
Z,0.05,45,mean_worst,7,335,13,2145,0.9984887321171994,3.63,0.24242424242424243,21.794971575029194
Z,0.05,46,mean_worst,7,335,13,2145,0.9989440602229807,3.63,0.24242424242424243,21.794971575029194
